assessment_id,study_id,effect_ids,evidence_stream,title,url,target_results,instrument,instrument_version,profile,domain_1,domain_2,domain_3,domain_4,domain_5,domain_6,domain_7,domain_8,domain_9,domain_10,overall_risk_of_bias,study_specific_note,decision_rationale,appraisal_basis,assessor,assessment_date
RB-ST-29,ST-29,E-29; E-41,productivity/delivery,Pioneering the Agentic Shift Within Salesforce Engineering,https://www.salesforce.com/news/stories/how-engineering-became-agentic/,Salesforce agentic SDLC — effective output; reported effect: +151.3% | Salesforce migration — task duration; reported effect: 18×,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_high,Case or benchmark criteria clear: Unclear,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: No,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Unclear,Failures and exclusions reported: No,Analysis appropriate: Unclear,Selective reporting addressed: No,Generalisability bounded: Yes,High,Two disclosed organisational estimates use different workflows and both lack a concurrent external comparator.,"This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-30,ST-30,E-30,productivity/delivery,How AI Is Transforming Work at Anthropic,https://www.anthropic.com/research/how-ai-is-transforming-work-at-anthropic,Anthropic adoption — merged PRs; reported effect: +67%,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_high,Inclusion criteria defined: Unclear,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: No,Outcome measured validly: Unclear,Analysis appropriate: Unclear,Reporting sufficiently complete: Unclear,,,High,"survey, interviews and internal telemetry","A small, selected or self-reported sample and limited control of confounding make the measured association vulnerable to substantial selection and measurement bias.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-31,ST-31,E-31; E-38,productivity/delivery,How frontier teams are reinventing AI-native development,https://aws.amazon.com/blogs/machine-learning/how-frontier-teams-are-reinventing-ai-native-development/,AWS Amazon Stores pilots — productivity gain; reported effect: Median 4.5× | AWS Prime Video — forecast duration; reported effect: 3.75×,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_high,Case or benchmark criteria clear: Unclear,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: No,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Unclear,Failures and exclusions reported: No,Analysis appropriate: Unclear,Selective reporting addressed: No,Generalisability bounded: Yes,High,"Two frontier-team estimates are retained as separate targets, but case selection and counterfactual baselines are not independently auditable.","This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-32,ST-32,E-32,productivity/delivery,AI Coding Assistant Trial: UK Public Sector Findings,https://www.gov.uk/government/publications/ai-coding-assistant-trial/ai-coding-assistant-trial-uk-public-sector-findings-report,UK Government — reported time saved; reported effect: About one hour per day,JBI quasi-experimental checklist with prespecified overall-risk rule,2024,jbi_quasi_high,Cause and effect clear: Yes,Participants compared similarly: No,Control group present: Unclear,Repeated pre/post measures: No,Follow-up complete: Unclear,Outcomes measured similarly: Yes,Outcomes measured reliably: Unclear,Analysis appropriate: Unclear,,,High,,"The comparison is weakly controlled or materially confounded, and incomplete reporting prevents the observed difference from being attributed securely to AI assistance.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-33,ST-33,E-33,productivity/delivery,AI-assisted Code Authoring at Scale,https://doi.org/10.1145/3643774,Meta CodeCompose — accepted-code share; reported effect: 8% of code,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,"Meta CodeCompose, FSE 2024","The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-34,ST-34,E-34,productivity/delivery,The AI Productivity Paradox,https://www.faros.ai/blog/ai-software-engineering,"Faros 2025 — tasks, PRs and review; reported effect: +21% tasks; +98% PRs",ROBINS-I V2,"draft, 20 November 2025",robins_serious,Confounding: Serious,Classification of intervention: Moderate,Selection into study: Serious,Missing data: Moderate,Outcome measurement: Moderate,Selection of reported result: Moderate,,,,,Serious,"Vendor telemetry is broad, but customer selection and unmeasured organisational maturity can drive both adoption and performance.","AI adoption was not random. Self-selection, concurrent process changes and differences between adopters and controls could explain a material part of the observed association.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-35,ST-35,E-35,productivity/delivery,AI Acceleration Whiplash,https://www.faros.ai/research/ai-acceleration-whiplash,Faros 2026 — delivery telemetry; reported effect: +33.7% tasks; +16.2% merge rate,ROBINS-I V2,"draft, 20 November 2025",robins_serious,Confounding: Serious,Classification of intervention: Moderate,Selection into study: Serious,Missing data: Moderate,Outcome measurement: Moderate,Selection of reported result: Moderate,,,,,Serious,"The longitudinal vendor dataset is useful for association, not isolated causal attribution.","AI adoption was not random. Self-selection, concurrent process changes and differences between adopters and controls could explain a material part of the observed association.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-36,ST-36,E-36,productivity/delivery,"State of AI-assisted Engineering, Q4 2025",https://getdx.com/report/ai-assisted-engineering-q4-impact-report/,DX Q4 2025 — time and PR output; reported effect: 3.6 hours/week; +60% PRs,ROBINS-I V2,"draft, 20 November 2025",robins_serious,Confounding: Serious,Classification of intervention: Moderate,Selection into study: Serious,Missing data: Moderate,Outcome measurement: Moderate,Selection of reported result: Moderate,,,,,Serious,"Customer telemetry and survey linkage leave residual selection, exposure and outcome-definition risk.","AI adoption was not random. Self-selection, concurrent process changes and differences between adopters and controls could explain a material part of the observed association.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-37,ST-37,E-37,productivity/delivery,Are AI Coding Tools Making Companies More Productive?,https://jellyfish.co/blog/are-ai-coding-tools-making-companies-more-productive/,Jellyfish — epics and effort; reported effect: +56% epics; −25% effort,ROBINS-I V2,"draft, 20 November 2025",robins_serious,Confounding: Serious,Classification of intervention: Moderate,Selection into study: Serious,Missing data: Moderate,Outcome measurement: Moderate,Selection of reported result: Moderate,,,,,Serious,Observed companies differ in adoption intensity and engineering systems; residual confounding is substantial.,"AI adoption was not random. Self-selection, concurrent process changes and differences between adopters and controls could explain a material part of the observed association.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-38,ST-38,E-39,productivity/delivery,AI-First Engineering: How Cisco Reached Tech Debt Zero,https://www.sonarsource.com/blog/ai-first-engineering-cisco/,Cisco — tech-debt workflow; reported effect: Up to 3×,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_high,Case or benchmark criteria clear: Unclear,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: No,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Unclear,Failures and exclusions reported: No,Analysis appropriate: Unclear,Selective reporting addressed: No,Generalisability bounded: Yes,High,SonarSource case study,"This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
