study_id,title,effect_ids,evidence_stream,evidence_weight,overall_risk_of_bias,appraisal_instrument,weight_basis,main_limitation,grade_source,assessment_date
ST-11,Writing Code vs. Shipping Code: The Impact of AI on Software Development,E-11,productivity/delivery,moderate,Serious,ROBINS-I V2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"Matching cannot eliminate differences in adoption timing, developer motivation, project maturity or concurrent tooling.",operating-model-audit.csv,2026-08-04
ST-12,The Global Diffusion and Impact of Artificial Intelligence Writing Code,E-12,productivity/delivery,moderate,Serious,ROBINS-I V2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"AI authorship is inferred from public code, so exposure misclassification compounds non-random tool use.",operating-model-audit.csv,2026-08-04
ST-13,Generative AI and the Nature of Work,E-13,productivity/delivery,moderate,Moderate,ROBINS-I V2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"The quasi-experimental discontinuity or matching strategy addresses major baseline differences, but residual confounding and analysis-selection risk remain.",operating-model-audit.csv,2026-08-04
ST-14,The Impact of Generative AI on Collaborative Open-Source Software Development,E-14,productivity/delivery,moderate,Serious,ROBINS-I V2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"Synthetic controls improve the counterfactual, but adoption is inferred and integration changes may have other causes.",operating-model-audit.csv,2026-08-04
ST-15,The Impact of Generative AI on Software Development: Evidence from GitHub Copilot X,E-15,productivity/delivery,moderate,Serious,ROBINS-I V2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,Matched difference-in-differences depends on parallel trends and accurate adoption timing.,operating-model-audit.csv,2026-08-04
ST-16,The Productivity Effects of Generative AI: Evidence from a Workplace Deployment of an AI Coder,E-16,productivity/delivery,moderate,Serious,ROBINS-I V2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,A time discontinuity can be affected by concurrent organisational changes at deployment.,operating-model-audit.csv,2026-08-04
ST-17,The Impact of Generative AI on Open-Source Software Development,E-17,productivity/delivery,moderate,Serious,ROBINS-I V2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,The natural experiment compares ecosystems that may differ independently of Copilot availability.,operating-model-audit.csv,2026-08-04
ST-18,Generative AI and labour productivity: a field experiment on coding,E-18,productivity/delivery,moderate,Serious,ROBINS-I V2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"The field setting is valuable, but treatment users were identified and paired with comparable controls rather than randomly assigned.",operating-model-audit.csv,2026-08-04
ST-19,The Effects of GitHub Copilot on Computing Students in Brownfield Programming Tasks,E-19,productivity/delivery,moderate,Some concerns,JBI quasi-experimental checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"The intervention precedes the measured outcome and a comparator is present, but allocation concealment, follow-up completeness or repeated pre/post measurement is unclear.",operating-model-audit.csv,2026-08-04
ST-20,Comprehension–Performance Gap in GenAI-Assisted Brownfield Programming,E-20,productivity/delivery,moderate,Some concerns,JBI quasi-experimental checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"The intervention precedes the measured outcome and a comparator is present, but allocation concealment, follow-up completeness or repeated pre/post measurement is unclear.",operating-model-audit.csv,2026-08-04
ST-21,"Less Effort, More Productivity: Lessons Learned from Developing Millions of Lines of Code with Large Language Model",E-21,productivity/delivery,moderate,High,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,ICSE 2026,operating-model-audit.csv,2026-08-04
ST-22,Speed at the Cost of Quality? The Impact of LLM Agent Assistance on Software Development,E-22,productivity/delivery,moderate,Serious,ROBINS-I V2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,Repository adoption is selected and the persistent quality outcomes can be affected by changing task mix.,operating-model-audit.csv,2026-08-04
ST-23,Multi-line AI-assisted Code Authoring,E-23,productivity/delivery,moderate,Some concerns,RoB 2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,Meta,operating-model-audit.csv,2026-08-04
ST-24,Does GenAI Improve Software Developer Productivity?,E-24,productivity/delivery,moderate,Serious,ROBINS-I V2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,Uplevel Data Labs,operating-model-audit.csv,2026-08-04
ST-25,Longitudinal GitHub Copilot Adoption at NAV IT,E-25,productivity/delivery,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",operating-model-audit.csv,2026-08-04
ST-26,Longitudinal Multi-case Study of AI-assisted Agile Teams,E-26,productivity/delivery,moderate,High,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",operating-model-audit.csv,2026-08-04
ST-27,Echoes of AI: Investigating the downstream effects of AI assistants on software maintainability,E-27,productivity/delivery,moderate,Some concerns,JBI quasi-experimental checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"The intervention precedes the measured outcome and a comparator is present, but allocation concealment, follow-up completeness or repeated pre/post measurement is unclear.",operating-model-audit.csv,2026-08-04
ST-28,Harnessing the Potential of Gen-AI Coding Assistants in Public Sector Software Development,E-28,productivity/delivery,low,High,JBI quasi-experimental checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,GovTech Singapore,operating-model-audit.csv,2026-08-04
ST-29,Pioneering the Agentic Shift Within Salesforce Engineering,E-29; E-41,productivity/delivery,low,High,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,Two disclosed organisational estimates use different workflows and both lack a concurrent external comparator.,operating-model-audit.csv,2026-08-04
ST-30,How AI Is Transforming Work at Anthropic,E-30,productivity/delivery,low,High,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"survey, interviews and internal telemetry",operating-model-audit.csv,2026-08-04
ST-31,How frontier teams are reinventing AI-native development,E-31; E-38,productivity/delivery,low,High,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"Two frontier-team estimates are retained as separate targets, but case selection and counterfactual baselines are not independently auditable.",operating-model-audit.csv,2026-08-04
ST-32,AI Coding Assistant Trial: UK Public Sector Findings,E-32,productivity/delivery,low,High,JBI quasi-experimental checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"The comparison is weakly controlled or materially confounded, and incomplete reporting prevents the observed difference from being attributed securely to AI assistance.",operating-model-audit.csv,2026-08-04
ST-33,AI-assisted Code Authoring at Scale,E-33,productivity/delivery,low,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"Meta CodeCompose, FSE 2024",operating-model-audit.csv,2026-08-04
ST-34,The AI Productivity Paradox,E-34,productivity/delivery,low,Serious,ROBINS-I V2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"Vendor telemetry is broad, but customer selection and unmeasured organisational maturity can drive both adoption and performance.",operating-model-audit.csv,2026-08-04
ST-35,AI Acceleration Whiplash,E-35,productivity/delivery,low,Serious,ROBINS-I V2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"The longitudinal vendor dataset is useful for association, not isolated causal attribution.",operating-model-audit.csv,2026-08-04
ST-36,"State of AI-assisted Engineering, Q4 2025",E-36,productivity/delivery,low,Serious,ROBINS-I V2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"Customer telemetry and survey linkage leave residual selection, exposure and outcome-definition risk.",operating-model-audit.csv,2026-08-04
ST-37,Are AI Coding Tools Making Companies More Productive?,E-37,productivity/delivery,low,Serious,ROBINS-I V2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,Observed companies differ in adoption intensity and engineering systems; residual confounding is substantial.,operating-model-audit.csv,2026-08-04
ST-38,AI-First Engineering: How Cisco Reached Tech Debt Zero,E-39,productivity/delivery,low,High,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,SonarSource case study,operating-model-audit.csv,2026-08-04
ST-39,Harness engineering: leveraging Codex in an agent-first world,E-40,productivity/delivery,low,High,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,OpenAI,operating-model-audit.csv,2026-08-04
ST-40,Amazon Q Developer just reached a $260 million milestone,E-42,productivity/delivery,low,High,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,AWS production migration disclosure,operating-model-audit.csv,2026-08-04
ST-41,RovoDev Code Reviewer: A Large-Scale Online Evaluation,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","Atlassian and Monash University, ICSE 2026",original 59-study evidence appraisal,2026-08-04
ST-42,Is Agentic Code Review Helpful?,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",original 59-study evidence appraisal,2026-08-04
ST-43,When Code Authors Are Agents: A Large-Scale Study of Human–Agent Collaboration in Pull Requests,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",original 59-study evidence appraisal,2026-08-04
ST-44,Comparing AI Coding Agents: A Task-Stratified Analysis of Pull Request Acceptance,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",original 59-study evidence appraisal,2026-08-04
ST-45,Early Adoption of Agentic Coding Tools by GitHub Projects,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",original 59-study evidence appraisal,2026-08-04
ST-46,AI-generated Pull-request Descriptions and Review Outcomes,,adjacent outcome,moderate,Moderate,ROBINS-I V2,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The quasi-experimental discontinuity or matching strategy addresses major baseline differences, but residual confounding and analysis-selection risk remain.",original 59-study evidence appraisal,2026-08-04
ST-47,Automated Code Review in Practice,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",original 59-study evidence appraisal,2026-08-04
ST-48,Does GitHub Copilot improve code quality?,,adjacent outcome,high,Some concerns,RoB 2,"Controlled primary adjacent outcome with a credible comparator, direct measure and no identified material limitation likely to reverse the interpretation.","Randomisation supports the bounded quality result, but the public report does not expose a complete prespecified analysis record.",original 59-study evidence appraisal,2026-08-04
ST-49,AI-assisted Programming May Decrease the Productivity of Experienced Developers by Increasing Maintenance Burden,,adjacent outcome,moderate,Serious,ROBINS-I V2,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","AI adoption was not random. Self-selection, concurrent process changes and differences between adopters and controls could explain a material part of the observed association.",original 59-study evidence appraisal,2026-08-04
ST-50,Debt Behind the AI Boom: A Large-Scale Empirical Study of AI-Generated Code in the Wild,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",original 59-study evidence appraisal,2026-08-04
ST-51,AI-assisted Assessment of Coding Practices in Industrial Code Review,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.",Google AutoCommenter,original 59-study evidence appraisal,2026-08-04
ST-52,AI-Assisted Fixes to Code Review Comments at Scale,,adjacent outcome,high,Some concerns,RoB 2,"Controlled primary adjacent outcome with a credible comparator, direct measure and no identified material limitation likely to reverse the interpretation.",Randomised safety trials are appraised for the trial result cited; the later production experiment is interpreted separately as observational evidence.,original 59-study evidence appraisal,2026-08-04
ST-53,Asleep at the Keyboard? Assessing the Security of GitHub Copilot’s Code Contributions,,adjacent outcome,moderate,Some concerns,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.",Communications of the ACM,original 59-study evidence appraisal,2026-08-04
ST-54,Understanding the Impact of AI Code Assistants on Security API Usage,,adjacent outcome,moderate,Some concerns,JBI quasi-experimental checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The intervention precedes the measured outcome and a comparator is present, but allocation concealment, follow-up completeness or repeated pre/post measurement is unclear.",original 59-study evidence appraisal,2026-08-04
ST-55,GoodVibe: Security-by-Vibe for LLM-Based Code Generation,,adjacent outcome,moderate,Some concerns,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.",USENIX Security 2026,original 59-study evidence appraisal,2026-08-04
ST-56,How AI assistance impacts the formation of coding skills,,adjacent outcome,high,Some concerns,RoB 2,"Controlled primary adjacent outcome with a credible comparator, direct measure and no identified material limitation likely to reverse the interpretation.",Anthropic randomised trial,original 59-study evidence appraisal,2026-08-04
ST-57,Examining the Use and Impact of an AI Code Assistant in the Enterprise,,adjacent outcome,moderate,Serious,ROBINS-I V2,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","IBM Research, CHI 2025",original 59-study evidence appraisal,2026-08-04
ST-58,Dear Diary: A Randomized Controlled Trial of Generative AI Coding Tools in the Workplace,,adjacent outcome,moderate,Some concerns,RoB 2,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","Randomisation is strong, while diary completion and self-reported productivity create missingness and measurement concerns.",original 59-study evidence appraisal,2026-08-04
ST-59,Reading Between the Lines: Modeling User Behavior and Costs in AI-Assisted Programming,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",original 59-study evidence appraisal,2026-08-04
ST-60,Self-Admitted GenAI Usage in Open-Source Software,,adjacent outcome,moderate,High,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","A small, selected or self-reported sample and limited control of confounding make the measured association vulnerable to substantial selection and measurement bias.",prisma/report-assessments.csv,2026-08-04
ST-61,A Study of Library Usage in Agent-Authored Pull Requests,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",prisma/report-assessments.csv,2026-08-04
ST-62,Agentic AI-Driven Developer Experience for Telecom Capabilities,,adjacent outcome,moderate,High,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",prisma/report-assessments.csv,2026-08-04
ST-63,Agentic Much? Adoption of Coding Agents on GitHub,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",prisma/report-assessments.csv,2026-08-04
ST-64,AI based software re-engineering: case AQUATOX,,adjacent outcome,low,High,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Weakly controlled, self-reported or descriptive adjacent evidence with material attribution, directness or precision limitations.","This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",prisma/report-assessments.csv,2026-08-04
ST-65,Leveraging Prompt Engineering with AI Coding Assistants to Develop Energy-Efficient Code,,adjacent outcome,moderate,Some concerns,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",prisma/report-assessments.csv,2026-08-04
ST-66,Analyzing Developer Use of ChatGPT Generated Code in Open Source GitHub Projects,,adjacent outcome,moderate,High,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","A small, selected or self-reported sample and limited control of confounding make the measured association vulnerable to substantial selection and measurement bias.",prisma/report-assessments.csv,2026-08-04
ST-67,Artificially Insecure: Examining GitHub Copilot’s AI-based Vulnerability Prevention System,,adjacent outcome,moderate,Some concerns,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",prisma/report-assessments.csv,2026-08-04
ST-68,Assessing GitHub Copilot in Solidity Development,,adjacent outcome,moderate,Some concerns,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",prisma/report-assessments.csv,2026-08-04
ST-69,Building web applications with AI: a comparative study,E-43,productivity/delivery,low,High,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,One developer repeated tool-specific builds without a manual baseline.,operating-model-audit.csv,2026-08-04
ST-70,Can generative AI bridge the gap?,E-44,productivity/delivery,moderate,High,JBI quasi-experimental checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"AI access is confounded with programming experience, so group differences cannot isolate the tool effect.",operating-model-audit.csv,2026-08-04
ST-71,Can LLMs Generate Higher Quality Code Than Humans?,,adjacent outcome,moderate,Some concerns,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",prisma/report-assessments.csv,2026-08-04
ST-72,Coding Agents in the Wild,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",prisma/report-assessments.csv,2026-08-04
ST-73,The influence of AI programming assistants on collaboration in software teams,,adjacent outcome,low,High,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Weakly controlled, self-reported or descriptive adjacent evidence with material attribution, directness or precision limitations.","A small, selected or self-reported sample and limited control of confounding make the measured association vulnerable to substantial selection and measurement bias.",prisma/report-assessments.csv,2026-08-04
ST-74,Disrupting Test Development with AI Assistants,,adjacent outcome,moderate,High,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",prisma/report-assessments.csv,2026-08-04
ST-75,Domain ambiguity in AI-assisted software development,,adjacent outcome,low,High,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Weakly controlled, self-reported or descriptive adjacent evidence with material attribution, directness or precision limitations.","This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",prisma/report-assessments.csv,2026-08-04
ST-76,A comparative security evaluation of manual and AI-assisted web development,,adjacent outcome,low,Some concerns,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Weakly controlled, self-reported or descriptive adjacent evidence with material attribution, directness or precision limitations.","The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",prisma/report-assessments.csv,2026-08-04
ST-77,Exploring and modelling human–AI collaboration effectiveness in software engineering,,adjacent outcome,low,High,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Weakly controlled, self-reported or descriptive adjacent evidence with material attribution, directness or precision limitations.","A small, selected or self-reported sample and limited control of confounding make the measured association vulnerable to substantial selection and measurement bias.",prisma/report-assessments.csv,2026-08-04
ST-78,Exploring the Challenges and Opportunities of AI-assisted Codebase Generation,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",prisma/report-assessments.csv,2026-08-04
ST-79,Fork-Triggerable AI Coding Agents in CI,,adjacent outcome,moderate,Some concerns,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",prisma/report-assessments.csv,2026-08-04
ST-80,From Developer Pairs to AI Copilots,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",prisma/report-assessments.csv,2026-08-04
ST-81,From Meeting to Pull Request,,adjacent outcome,low,High,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Weakly controlled, self-reported or descriptive adjacent evidence with material attribution, directness or precision limitations.","This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",prisma/report-assessments.csv,2026-08-04
ST-82,From Preventive to Reactive: How AI Coding Assistants Transform Developers’ Security Awareness,,adjacent outcome,moderate,High,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","A small, selected or self-reported sample and limited control of confounding make the measured association vulnerable to substantial selection and measurement bias.",prisma/report-assessments.csv,2026-08-04
