journal_record_id,title,publication_year,journal,issn,doi,url,within_search_venues,automated_screen,automated_reason,dedupe_status,abstract,human_decision,title_abstract_reason,full_text_decision,full_text_reason,study_id,evidence_weight
JR-399,How students use generative AI for software testing: An observational study,2026,Empirical Software Engineering,1382-3256,10.1007/s10664-026-10898-0,https://doi.org/10.1007/s10664-026-10898-0,J01,candidate,AI-coding and software-development markers present,unique_for_screening,"Abstract The integration of generative AI tools like ChatGPT into software engineering workflows opens up new opportunities to boost productivity in tasks such as unit test engineering. However, these AI-assisted workflows can also significantly alter the developer’s role, raising concerns about control, output quality, and learning, particularly for novice developers. This study investigates how novice software developers with foundational knowledge in software testing interact with generative AI for engineering unit tests. Our goal is to examine the strategies they use, how heavily they rely on generative AI, and the benefits and challenges they perceive when using generative AI-assisted approaches for test engineering. We conducted an observational study involving 12 undergraduate students who worked with generative AI for unit testing tasks, using ChatGPT running the GPT-3.5 model. We identified four interaction strategies, defined by whether the test idea or the test implementation originated from generative AI or from the participant. Additionally, we singled out prompting styles that focused on one-shot or iterative test generation, which often aligned with the broader interaction strategy. Students reported benefits including time-saving, reduced cognitive load, and support for test ideation, but also noted drawbacks such as diminished trust, test quality concerns, and lack of ownership. While strategy and prompting styles influenced workflow dynamics, they did not significantly affect test effectiveness or test code quality as measured by mutation score or test smells.",seek_full_text,"Potentially eligible developer, team or repository evidence",include_adjacent,"Primary study of review, quality, security, skills, adoption or interaction",ST-106,moderate
JR-403,Is GitHub’s Copilot as bad as humans at introducing vulnerabilities in code?,2023,Empirical Software Engineering,1382-3256,10.1007/s10664-023-10380-1,https://doi.org/10.1007/s10664-023-10380-1,J01,candidate,AI-coding and software-development markers present,unique_for_screening,,seek_full_text,"Potentially eligible developer, team or repository evidence",include_adjacent,"Primary study of review, quality, security, skills, adoption or interaction",ST-115,moderate
JR-424,"What characteristics make ChatGPT effective for software issue resolution? An empirical study of task, project, and conversational signals in GitHub issues",2025,Empirical Software Engineering,1382-3256,10.1007/s10664-025-10745-8,https://doi.org/10.1007/s10664-025-10745-8,J01,candidate,AI-coding and software-development markers present,unique_for_screening,"Abstract Conversational large-language models (LLMs), such as ChatGPT, are extensively used for issue resolution tasks, particularly for generating ideas to implement new features or resolve bugs. However, not all developer-LLM conversations are useful for effective issue resolution and it is still unknown what makes some of these conversations not helpful. In this paper, we analyze 686 developer-ChatGPT conversations shared within GitHub issue threads to identify characteristics that make these conversations effective for issue resolution. First, we empirically analyze the conversations and their corresponding issue threads to distinguish helpful from unhelpful conversations. We begin by categorizing the types of tasks developers seek help with (e.g., code generation , bug identification and fixing , test generation ), to better understand the scenarios in which ChatGPT is most effective. Next, we examine a wide range of conversational, project, and issue-related metrics to uncover statistically significant factors associated with helpful conversations. Finally, we identify common deficiencies in unhelpful ChatGPT responses to highlight areas that could inform the design of more effective developer-facing tools. We found that only 62% of the ChatGPT conversations were helpful for successful issue resolution. Among different tasks related to issue resolution, ChatGPT was most helpful in assisting with code generation, and tool/library/API recommendations, but struggled with generating code explanations. Our conversational metrics reveal that helpful conversations are shorter, more readable, and exhibit higher semantic and linguistic alignment. Our project metrics reveal that larger, more popular projects and experienced developers benefit more from ChatGPT’s assistance. Our issue metrics indicate that ChatGPT is more effective on simpler issues characterized by limited developer activity and faster resolution times. These typically involve well-scoped technical problems such as compilation errors and tool feature requests. In contrast, it performs less effectively on complex issues that demand deep project-specific understanding, such as system-level code debugging and refactoring. The most common deficiencies in unhelpful ChatGPT responses include incorrect information and lack of comprehensiveness. Our findings have wide implications including guiding developers on effective interaction strategies for issue resolution, informing the development of tools or frameworks to support optimal prompt design, and providing insights on fine-tuning LLMs for issue resolution tasks.",seek_full_text,"Potentially eligible developer, team or repository evidence",include_adjacent,"Primary study of review, quality, security, skills, adoption or interaction",ST-107,moderate
JR-427,AI-Assisted Collaboration: Exploring Developer Experience with GitHub Copilot and Windsurf,2026,IEEE Software,0740-7459,10.1109/ms.2026.3671677,https://doi.org/10.1109/ms.2026.3671677,J06,candidate,AI-coding and software-development markers present,unique_for_screening,,seek_full_text,"Potentially eligible developer, team or repository evidence",include_adjacent,"Primary study of review, quality, security, skills, adoption or interaction",ST-108,low
JR-470,A Framework for Evaluating GenAI Adoption and Use in Software Engineering,2026,IEEE Transactions on Software Engineering,0098-5589,10.1109/tse.2026.3688745,https://doi.org/10.1109/tse.2026.3688745,J02,candidate,AI-coding and software-development markers present,unique_for_screening,,seek_full_text,"Potentially eligible developer, team or repository evidence",exclude_full_text,Evaluates the quality of GenAI-based products rather than AI assistance in a software-development workflow,,
JR-496,From Disruptions to Discussions: How GenAI Impacts Human Interactions in Software Development,2026,IEEE Transactions on Software Engineering,0098-5589,10.1109/tse.2026.3655626,https://doi.org/10.1109/tse.2026.3655626,J02,candidate,AI-coding and software-development markers present,unique_for_screening,,seek_full_text,"Potentially eligible developer, team or repository evidence",include_adjacent,"Primary study of review, quality, security, skills, adoption or interaction",ST-109,moderate
JR-498,How Can ChatGPT Support Human Security Testers to Help Mitigate Supply Chain Attacks?,2026,IEEE Transactions on Software Engineering,0098-5589,10.1109/tse.2025.3632765,https://doi.org/10.1109/tse.2025.3632765,J02,candidate,AI-coding and software-development markers present,unique_for_screening,,seek_full_text,"Potentially eligible developer, team or repository evidence",include_adjacent,"Primary study of review, quality, security, skills, adoption or interaction",ST-110,moderate
JR-503,LLM-Based Test-Driven Interactive Code Generation: User Study and Empirical Evaluation,2024,IEEE Transactions on Software Engineering,0098-5589,10.1109/tse.2024.3428972,https://doi.org/10.1109/tse.2024.3428972,J02,candidate,AI-coding and software-development markers present,unique_for_screening,,seek_full_text,"Potentially eligible developer, team or repository evidence",include_adjacent,"Primary study of review, quality, security, skills, adoption or interaction",ST-111,moderate
JR-540,Empirical analysis of generative AI tool adoption in software development,2026,Information and Software Technology,0950-5849,10.1016/j.infsof.2026.108036,https://doi.org/10.1016/j.infsof.2026.108036,J05,candidate,AI-coding and software-development markers present,unique_for_screening,,seek_full_text,"Potentially eligible developer, team or repository evidence",include_contextual,Survey or qualitative evidence retained to interpret adoption and workflow context,,
JR-548,Still just personal assistants? – A multiple case study of generative AI adoption in software organizations,2025,Information and Software Technology,0950-5849,10.1016/j.infsof.2025.107805,https://doi.org/10.1016/j.infsof.2025.107805,J05,candidate,AI-coding and software-development markers present,unique_for_screening,,seek_full_text,"Potentially eligible developer, team or repository evidence",include_contextual,Survey or qualitative evidence retained to interpret adoption and workflow context,,
JR-554,"Using AI-based coding assistants in practice: State of affairs, perceptions, and ways forward",2025,Information and Software Technology,0950-5849,10.1016/j.infsof.2024.107610,https://doi.org/10.1016/j.infsof.2024.107610,J05,candidate,AI-coding and software-development markers present,unique_for_screening,,seek_full_text,"Potentially eligible developer, team or repository evidence",include_contextual,Survey or qualitative evidence retained to interpret adoption and workflow context,,
JR-555,Using LLMs to enhance code quality: A systematic literature review,2026,Information and Software Technology,0950-5849,10.1016/j.infsof.2025.107960,https://doi.org/10.1016/j.infsof.2025.107960,J05,candidate,AI-coding and software-development markers present,unique_for_screening,,seek_full_text,"Potentially eligible developer, team or repository evidence",include_secondary_synthesis,Eligible secondary synthesis of quality evidence,,
JR-585,Do comments and expertise still matter? An experiment on programmers’ adoption of AI-generated JavaScript code,2026,Journal of Systems and Software,0164-1212,10.1016/j.jss.2025.112634,https://doi.org/10.1016/j.jss.2025.112634,J04,candidate,AI-coding and software-development markers present,unique_for_screening,,seek_full_text,"Potentially eligible developer, team or repository evidence",include_adjacent,"Primary study of review, quality, security, skills, adoption or interaction",ST-112,high
JR-593,"Exploring the problems, their causes and solutions of AI pair programming: A study on GitHub and Stack Overflow",2025,Journal of Systems and Software,0164-1212,10.1016/j.jss.2024.112204,https://doi.org/10.1016/j.jss.2024.112204,J04,candidate,AI-coding and software-development markers present,unique_for_screening,,seek_full_text,"Potentially eligible developer, team or repository evidence",include_adjacent,"Primary study of review, quality, security, skills, adoption or interaction",ST-113,moderate
JR-598,GitHub Copilot AI pair programmer: Asset or Liability?,2023,Journal of Systems and Software,0164-1212,10.1016/j.jss.2023.111734,https://doi.org/10.1016/j.jss.2023.111734,J04,candidate,AI-coding and software-development markers present,unique_for_screening,,seek_full_text,"Potentially eligible developer, team or repository evidence",include_adjacent,"Primary study of review, quality, security, skills, adoption or interaction",ST-116,moderate
JR-622,“Will I be replaced?” Assessing ChatGPT's effect on software development and programmer perceptions of AI tools,2024,Science of Computer Programming,0167-6423,10.1016/j.scico.2024.103111,https://doi.org/10.1016/j.scico.2024.103111,J11,candidate,AI-coding and software-development markers present,unique_for_screening,,seek_full_text,"Potentially eligible developer, team or repository evidence",include_adjacent,"Primary study of review, quality, security, skills, adoption or interaction",ST-114,low
JR-624,Generative AI solutions for software quality: Assessing industrial readiness,2026,Software Quality Journal,0963-9314,10.1007/s11219-026-09754-7,https://doi.org/10.1007/s11219-026-09754-7,J08,candidate,AI-coding and software-development markers present,unique_for_screening,"Abstract Software quality is undergoing a profound transformation, driven by state-of-the-art research on the application of emerging technologies in software development processes. Specifically, the use of generative Artificial Intelligence (AI) may represent an opportunity to advance the state of practice in this domain. This study aims to assess the industrial readiness and availability of Generative AI-based solutions for software quality, classifying them according to ISO/IEC 25010 attributes and SDLC phases. An empirical assessment of the state of practice was conducted, employing a Rapid Multivocal Literature Review (RMLR) protocol as a data collection instrument to screen evidence from academic databases (Scopus) and grey literature (Google, GitHub, PapersWithCode). We identified 24 potentially usable solutions. However, the analysis reveals a low technological maturity, with most solutions being academic prototypes hampered by fundamental technical limitations and adoption challenges. These include the “last mile problem” in translating research prototypes into reliable, production-ready tools; the “strategic adoption dilemma” forcing practitioners to trade off between proprietary lock-in and high open-source infrastructure costs; and the “scarcity of realistic public data,” which drives a generalization gap due to reliance on synthetic or leaked benchmarks. Generative AI in software quality remains an emerging but immature field, hampered by a critical reliability gap between academic prototypes and industrial needs. Advancing this domain requires moving beyond a narrow code-centric focus to address the quality of the AI systems themselves, expanding research across all SDLC phases and ISO 25010 attributes. We conclude with a roadmap advocating for contamination-free benchmarks, explainable architectures, and robust guidelines for real-world integration.",seek_full_text,"Potentially eligible developer, team or repository evidence",include_secondary_synthesis,Eligible secondary synthesis of quality evidence,,
JR-635,Generative AI for Requirements Engineering: A Systematic Literature Review,2025,Software: Practice and Experience,0038-0644,10.1002/spe.70029,https://doi.org/10.1002/spe.70029,J10,candidate,AI-coding and software-development markers present,unique_for_screening,"ABSTRACT Introduction Requirements engineering (RE) faces challenges due to the handling of increasingly complex software systems. These challenges can be addressed using generative artificial intelligence (GenAI). Given that GenAI‐based RE has not been systematically analyzed in detail, this review examines the related research, focusing on trends, methodologies, challenges, and future work directions. Methods A systematic methodology for paper selection, data extraction, and feature analysis is used to comprehensively review 238 articles published from 2019 to 2025 and available from major academic databases. Results Although generative pretrained transformer models dominate current applications (67.3% of studies), the research focus remains unevenly distributed across RE phases, with analysis (30.0%) and elicitation (22.1%) receiving the most attention and management (6.8%) remaining underexplored. Three core challenges—reproducibility (66.8%), hallucinations (63.4%), and interpretability (57.1%)—form a tightly interlinked triad affecting trust and consistency, and strong correlations ( co‐occurrence) indicate that these challenges must be addressed holistically. Industrial adoption remains nascent, with > 90% of studies corresponding to early‐stage development and only 1.3% reaching production‐level integration. Evaluation practices show maturity gaps, limited tool/dataset availability, and fragmented benchmarking approaches. Conclusions Despite the transformative potential of GenAI‐based RE, several barriers hinder its practical adoption. The strong correlations among core challenges demand specialized architectures targeting interdependencies rather than isolated solutions. The limited real‐world deployment reflects systemic bottlenecks in generalizability, data quality, and scalable evaluation methods. Successful adoption requires coordinated development across technical robustness, methodological maturity, and governance integration. A multiphase research roadmap emphasizing evaluation infrastructure strengthening, governance‐aware development, and industrial‐scale standardization is proposed.",seek_full_text,"Potentially eligible developer, team or repository evidence",exclude_full_text,"Secondary requirements-engineering review without an extractable productivity, delivery or adjacent coding outcome",,
JR-649,Understanding and Enhancing CS Students’ Interaction Experience with AI Coding Assistant Tools,2025,ACM Transactions on Software Engineering and Methodology,1049-331X,10.1145/3785479,https://doi.org/10.1145/3785479,J03,candidate,AI-coding and software-development markers present,prior_openalex_record_reassessed,"AI coding assistants (ACATs) are reshaping computer science (CS) education, yet students’ perception and responses to ACATs’ suggestions remains limited understood, especially regarding behavioral patterns, decision-making, and usability challenges. To address this gap, we conducted a study with 27 CS students, examining their interactions with three widely used ACATs across five key dimensions: interaction frequency and acceptance rate, self-perceived productivity, behavioral patterns, decision-making factors, and challenges and expectations. To support this investigation, we developed an experimental platform incorporating a VSCode extension for log data collection, screen recording and automatic generation of personalized interview and survey questions. Our findings reveal substantial variation in ACAT acceptance rates depending on task types, recommendation methods, and content. We propose a novel five-layer interaction behavior model that captures different stages of user interaction. Notable insights include the problem-solving value of rejected AI suggestions, the inefficiencies introduced by modifying existing code that often lead to backtracking, and the high stability of “slowly accepted” suggestions. Moreover, we identify 22 decision-making factors, 11 challenges, and 23 student expectations for future ACAT improvements—such as enhanced debugging accuracy and adaptive learning of individual coding styles. This study contributes actionable design implications for improving ACAT usability, informing student interaction strategies, and guiding future research in human-software interaction, ultimately aiming to better support CS education.",seek_full_text,"Potentially eligible developer, team or repository evidence",include_adjacent,"Primary study of review, quality, security, skills, adoption or interaction",ST-102,moderate
JR-651,Continuance use of AI coding assistants among South Korean Industry Developers: A survey case study with large language models,2025,Empirical Software Engineering,1382-3256,10.1007/s10664-025-10730-1,https://doi.org/10.1007/s10664-025-10730-1,J01,candidate,AI-coding and software-development markers present,prior_openalex_record_reassessed,,seek_full_text,"Potentially eligible developer, team or repository evidence",include_contextual,Survey or qualitative evidence retained to interpret adoption and workflow context,,
